Time (s),Shoulder Joint,Elbow Joint,Wrist Joint,Finger Joint,Drum Bead,cm,100bpm
0.141666667,0,-26.44290887,-37.03106849,-38.93381511,-29.54648701,,
0.145833333,0,-26.46265384,-36.81556098,-38.47501594,-28.74058504,,
0.15,0,-26.50081301,-36.61003276,-38.02748378,-27.93277356,,
0.154166667,0,-26.55070295,-36.40710512,-37.58792762,-27.14574876,,
0.158333333,0,-26.60544163,-36.2005474,-37.15027338,-26.38638348,,
0.1625,0,-26.66002852,-35.98625175,-36.70544538,-25.62346038,,
0.166666667,0,-26.71080198,-35.76140781,-36.24359017,-24.81852322,,
0.170833333,0,-26.75486971,-35.52438418,-35.75874545,-23.96190848,,
0.175,0,-26.79054499,-35.27497266,-35.25087294,-23.0606061,,
0.179166667,0,-26.81796531,-35.01411304,-34.72288569,-22.11514097,,
0.183333333,0,-26.83850666,-34.7431825,-34.17645878,-21.13863076,,
0.1875,0,-26.85265529,-34.46259238,-33.61051171,-20.18481518,,
0.191666667,0,-26.85913513,-34.17081576,-33.02377359,-19.2984918,,
0.195833333,0,-26.85634842,-33.86550525,-32.41856172,-18.43812074,,
0.2,0,-26.84323763,-33.54532489,-31.80120926,-17.51440746,,
0.204166667,0,-26.81909154,-33.21062035,-31.17957956,-16.50897593,,
0.208333333,0,-26.78425255,-32.86348613,-30.56065519,-15.50796611,,
0.2125,0,-26.74147712,-32.50819105,-29.95092465,-14.61354333,,
0.216666667,0,-26.69578344,-32.15093661,-29.35982145,-13.84169365,,
0.220833333,0,-26.65180101,-31.79757378,-28.79915508,-13.10848577,,
0.225,0,-26.61122961,-31.45105936,-28.27584709,-12.30183196,,
0.229166667,0,-26.5731495,-31.11091979,-27.78811867,-11.37469763,,
0.233333333,0,-26.535844,-30.77442366,-27.32993255,-10.38962391,,
0.2375,0,-26.49812205,-30.43892552,-26.89485408,-9.466122628,,
0.241666667,0,-26.45985236,-30.10392956,-26.47338902,-8.679915328,,
0.245833333,0,-26.42145581,-29.77069715,-26.04969196,-8.012398238,,
0.25,0,-26.38307612,-29.44075189,-25.60445505,-7.386070249,,
0.254166667,0,-26.34479406,-29.11555572,-25.12224649,-6.742759202,,
0.258333333,0,-26.30729666,-28.79645722,-24.59901246,-6.070327036,,
0.2625,0,-26.27178792,-28.48418035,-24.046007,-5.356573763,,
0.266666667,0,-26.2394476,-28.17876848,-23.48460638,-4.57464272,,
0.270833333,0,-26.21139494,-27.88030285,-22.93471927,-3.734474651,,
0.275,0,-26.18946575,-27.58979147,-22.40864665,-2.900508475,,
0.279166667,0,-26.17667574,-27.30887942,-21.913931,-2.135342561,,
0.283333333,0,-26.17567588,-27.03787939,-21.45647941,-1.453083708,,
0.2875,0,-26.18630309,-26.77447023,-21.03739707,-0.837479813,,
0.291666667,0,-26.2059699,-26.51566638,-20.65034298,-0.277900383,,
0.295833333,0,-26.23272856,-26.26119609,-20.28559967,0.219926779,,
0.3,0,-26.26585218,-26.01339794,-19.93251267,0.660383121,,
0.304166667,0,-26.30306622,-25.77377487,-19.57837118,1.095313018,,
0.308333333,0,-26.33956846,-25.54156139,-19.21287187,1.59015105,,
0.3125,0,-26.37011562,-25.31546403,-18.8341882,2.155018305,,
0.316666667,0,-26.39071577,-25.0951448,-18.44755956,2.741863886,,
0.320833333,0,-26.39889008,-24.88132154,-18.06062426,3.275745563,,
0.325,0,-26.39368161,-24.6756221,-17.68136475,3.701627615,,
0.329166667,0,-26.37550657,-24.48034093,-17.317614,4.039453613,,
0.333333333,0,-26.34551298,-24.2977434,-16.97624283,4.367290043,,
0.3375,0,-26.30500934,-24.12944405,-16.66183976,4.750835715,,
0.341666667,0,-26.25571291,-23.97642474,-16.37684946,5.195335258,,
0.345833333,0,-26.20043371,-23.8393359,-16.12243162,5.650963748,,
0.35,0,-26.14261095,-23.71841335,-15.89625213,6.057535894,,
0.354166667,0,-26.08437462,-23.61298561,-15.69044034,6.366386547,,
0.358333333,0,-26.02552571,-23.52100985,-15.49513895,6.561921303,,
0.3625,0,-25.96490093,-23.43931186,-15.3033899,6.69909595,,
0.366666667,0,-25.90263327,-23.3650448,-15.11205973,6.865278431,,
0.370833333,0,-25.84109625,-23.29730229,-14.92207322,7.106446629,,
0.375,0,-25.78371802,-23.23742688,-14.74000272,7.416833971,,
0.379166667,0,-25.73326055,-23.18814365,-14.57757092,7.754001192,,
0.383333333,0,-25.69055269,-23.15204865,-14.44694476,8.062207984,,
0.3875,0,-25.65342068,-23.13001232,-14.35432519,8.323197507,,
0.391666667,0,-25.61738676,-23.1206614,-14.29850204,8.561758265,,
0.395833333,0,-25.57824661,-23.1213951,-14.27597192,8.788526179,,
0.4,0,-25.53373645,-23.13006617,-14.28443551,8.989110441,,
0.404166667,0,-25.48301011,-23.14573472,-14.3199486,9.149227587,,
0.408333333,0,-25.42483462,-23.16794709,-14.37477353,9.236703488,,
0.4125,0,-25.35595943,-23.19591947,-14.44046692,9.211787594,,
0.416666667,0,-25.27183016,-23.22904578,-14.51044623,9.095804605,,
0.420833333,0,-25.17075225,-23.26896658,-14.58063461,8.968534831,,
0.425,0,-25.05713396,-23.32050849,-14.65206579,8.871519617,,
0.429166667,0,-24.93920868,-23.38925296,-14.73289108,8.777547453,,
0.433333333,0,-24.824496,-23.47897848,-14.83557805,8.666832608,,
0.4375,0,-24.7178884,-23.59123035,-14.97146949,8.564395172,,
0.441666667,0,-24.62231528,-23.72541961,-15.1470523,8.49451951,,
0.445833333,0,-24.53948169,-23.87899101,-15.36323557,8.449884674,,
0.45,0,-24.46945046,-24.04810656,-15.61600506,8.406808417,,
0.454166667,0,-24.41033316,-24.22898672,-15.89628986,8.340110153,,
0.458333333,0,-24.35905447,-24.41920202,-16.19104519,8.213897213,,
0.4625,0,-24.31225379,-24.6175632,-16.48821726,7.978131276,,
0.466666667,0,-24.26658414,-24.82293081,-16.78116981,7.615548296,,
0.470833333,0,-24.21883377,-25.03359519,-17.06845493,7.182746327,,
0.475,0,-24.16629655,-25.24781686,-17.35122795,6.762994212,,
0.479166667,0,-24.10742369,-25.46481105,-17.63073583,6.382614413,,
0.483333333,0,-24.0426125,-25.68540692,-17.90744868,5.989374905,,
0.4875,0,-23.97435032,-25.91212274,-18.18361237,5.516349226,,
0.491666667,0,-23.9063249,-26.14902909,-18.46791996,4.969203977,,
